modules/autoinstall\lang\lang.xml,run,Run,
modules/autoinstall\lang\lang.xml,rate,%s points,
modules/autoinstall\lang\lang.xml,thumbnail,Thumbnail,
modules/autoinstall\lang\lang.xml,name,Name,
modules/autoinstall\lang\lang.xml,about_depending_programs,"To use this package, the following program should have been installed.",
modules/autoinstall\lang\lang.xml,ftp_password,FTP password,
modules/autoinstall\lang\lang.xml,msg_dependency_package,Cannot remove this package because there exists another packages dependent on this.,
modules/autoinstall\lang\lang.xml,dependant_list,Dependant package list of the current package,
modules/autoinstall\lang\lang.xml,msg_avail_easy_update,There is new version for this item.,
modules/autoinstall\lang\lang.xml,msg_do_you_like_update,Would you like to update?,
modules/autoinstall\lang\lang.xml,msg_connection_fail,Failed to connect to server.,
modules/autoinstall\lang\lang.xml,still_in_progress,This module is dedicated for installing apps (extensions). At this moment we are working hard to make this feature available for you.,
modules/autoinstall\lang\lang.xml,msg_not_match_server,Server settings are incorrect.,
modules/autoinstall\lang\lang.xml,msg_delete_file_failed,Failed to delete the file. %s.,
modules/autoinstall\lang\lang.xml,msg_delete_dir_failed,Failed to delete the directory. %s,
modules/autoinstall\lang\lang.xml,msg_ftp_password_input,No password entered.,
modules/autoinstall\lang\lang.xml,msg_sftp_not_supported,SFTP is not supported.,
modules/autoinstall\lang\lang.xml,msg_does_not_support_delete,Cannot delete this package (no moduleUninstall() in the module class).,
modules/autoinstall\lang\lang.xml,msg_update_core,"<strong style=""color:red""> Karybu core is updated.</strong><br />Please be sure to check the compatibility of the extensions that are installed when updating the core.",
modules/board\lang\lang.xml,board,Board,
modules/board\lang\lang.xml,except_notice,Exclude Notices,
modules/board\lang\lang.xml,use_anonymous,Use Anonymous,
modules/board\lang\lang.xml,cmd_manage_menu,Manage Menus,
modules/board\lang\lang.xml,list_target_item,Target Item,
modules/board\lang\lang.xml,list_display_item,Display Item,
modules/board\lang\lang.xml,summary,Summary,
modules/board\lang\lang.xml,thumbnail,Thumbnail,
modules/board\lang\lang.xml,last_post,Last post,
modules/board\lang\lang.xml,board_management,Board Management,
modules/board\lang\lang.xml,search_result,Search Result,
modules/board\lang\lang.xml,consultation,Consultation,
modules/board\lang\lang.xml,secret,Secret,
modules/board\lang\lang.xml,thisissecret,This is a secret article.,
modules/board\lang\lang.xml,admin_mail,Administrator's Mail,
modules/board\lang\lang.xml,cmd_board_list,Boards List,
modules/board\lang\lang.xml,cmd_module_config,Common Board Setting,
modules/board\lang\lang.xml,cmd_board_info,Board Info,
modules/board\lang\lang.xml,cmd_list_setting,List Setting,
modules/board\lang\lang.xml,cmd_create_board,Create a new board,
modules/board\lang\lang.xml,cmd_manage_selected_board,Manage Selected Board,
modules/board\lang\lang.xml,about_layout_setup,You can manually modify board layout code. Insert or manage the widget code anywhere you want,
modules/board\lang\lang.xml,about_board_category,"You can make board categories. When board category is broken, try rebuilding the cache file manually.",
modules/board\lang\lang.xml,about_except_notice,Notice articles will not be displayed on normal list.,
